date,field,group,meas,treatment,leaf,chl,flav,anth,nbi
2025-07-17,villnave,1,160,Control,leaf2,29.911,0.22,0.382,136.22
2025-07-17,villnave,1,184,Control,leaf2,35.431,0.45,0.371,78.77
2025-07-17,villnave,1,183,Control,leaf1,31.922,0.47,0.312,67.95
2025-07-17,villnave,1,182,Control,leaf2,40.429,0.512,0.344,79
2025-07-17,villnave,1,181,Control,leaf1,32.903,0.447,0.37,73.62
2025-07-17,villnave,1,171,Control,leaf1,38.245,0.572,0.342,66.86
2025-07-17,villnave,1,172,Control,leaf2,42.333,0.453,0.347,93.51
2025-07-17,villnave,1,180,Control,leaf2,39.359,0.549,0,71.67
2025-07-17,villnave,1,179,Control,leaf1,29.827,0.534,0.38,55.85
2025-07-17,villnave,1,173,Control,leaf1,26.094,0.495,0.379,52.67
2025-07-17,villnave,1,174,Control,leaf2,31.823,0.535,0.357,59.43
2025-07-17,villnave,1,178,Control,leaf2,42.73,0.517,0.43,82.59
2025-07-17,villnave,1,177,Control,leaf1,33.295,0.516,0.4,64.53
2025-07-17,villnave,1,175,Control,leaf1,30.176,0.43,0.363,70.24
2025-07-17,villnave,1,176,Control,leaf2,37.676,0.602,0.361,62.55
2025-07-17,villnave,1,149,Control,leaf1,28.616,0.465,0.447,61.51
2025-07-17,villnave,1,150,Control,leaf2,36.962,0.52,0.345,71.05
2025-07-17,villnave,1,151,Control,leaf1,29.004,0.494,0.405,58.76
2025-07-17,villnave,1,152,Control,leaf2,31.989,0.415,0.321,77.12
2025-07-17,villnave,1,153,Control,leaf1,22.726,0.521,0.385,43.61
2025-07-17,villnave,1,154,Control,leaf2,38.96,0.52,0.334,74.93
2025-07-17,villnave,1,197,Control,leaf2,41.394,0.594,0.329,69.66
2025-07-17,villnave,1,196,Control,leaf1,34.784,0.574,0.376,60.63
2025-07-17,villnave,1,195,Control,leaf2,33.698,0.46,0.418,73.34
2025-07-17,villnave,1,194,Control,leaf1,33.189,0.604,0.365,54.95
