date,field,treatment,group,meas,leaf,chl,flav,anth,nbi
2025-07-18,benson,control,1,436,leaf2,54.902,0.636,0.309,86.31
2025-07-18,benson,control,1,437,leaf1,64.979,0.566,0.278,114.89
2025-07-18,benson,control,1,438,leaf2,65.794,0.262,0.23,251.52
2025-07-18,benson,control,1,28,leaf2,34.68,1.722,0.42,20.14
2025-07-18,benson,control,1,27,leaf1,28.971,1.153,0.407,25.13
2025-07-18,benson,control,1,42,leaf2,50.588,0.534,0.337,94.79
2025-07-18,benson,control,1,41,leaf1,41.807,0.49,0.361,85.34
2025-07-18,benson,control,1,40,leaf2,21.996,0.394,0.299,55.81
2025-07-18,benson,control,1,39,leaf1,41.117,1.071,0.363,38.39
2025-07-18,benson,control,1,38,leaf2,33.252,0.24,0,138.42
2025-07-18,benson,control,1,37,leaf1,37.391,0.378,0.38,98.89
2025-07-18,benson,control,1,30,leaf2,45.225,0.419,0.315,108.02
2025-07-18,benson,control,1,29,leaf1,33.573,NA,NA,NA
2025-07-18,benson,control,1,36,leaf2,56.871,0.558,0.35,101.99
2025-07-18,benson,control,1,35,leaf1,60.782,0.389,0.34,156.28
2025-07-18,benson,control,1,32,leaf2,49.393,1.017,0.327,48.58
2025-07-18,benson,control,1,31,leaf1,58.248,NA,NA,NA
2025-07-18,benson,control,1,34,leaf2,21.693,0.437,0.285,49.65
2025-07-18,benson,control,1,33,leaf1,29.673,0.427,0.432,69.53
2025-07-18,benson,control,1,44,leaf2,57.484,0.84,0.345,68.41
2025-07-18,benson,control,1,43,leaf1,42.842,0.333,0.35,128.5
2025-07-18,benson,control,1,46,leaf2,49.712,1.12,0.32,44.4
2025-07-18,benson,control,1,45,leaf1,40.377,0.667,0.375,60.56
2025-07-18,benson,control,1,48,leaf2,16.551,0.498,0.309,33.25
2025-07-18,benson,control,1,47,leaf1,19.653,0.412,0.302,47.74
2025-07-18,benson,control,1,50,leaf2,51.884,0.55,0.344,94.4
2025-07-18,benson,control,1,49,leaf1,26.512,NA,NA,NA
2025-07-18,benson,control,1,52,leaf2,44.83,0.719,0.362,62.34
2025-07-18,benson,control,1,51,leaf1,38.416,0.729,0.359,52.68
2025-07-18,benson,control,1,53,leaf1,34.965,0.467,0.408,74.82
2025-07-18,benson,control,1,54,leaf2,44.785,0.86,0.324,52.09
2025-07-18,benson,control,1,55,leaf1,54.007,0.323,0.352,167.25
2025-07-18,benson,control,1,56,leaf2,48.004,NA,NA,NA
2025-07-18,benson,control,1,57,leaf1,44.438,0.354,0.372,125.52
2025-07-18,benson,control,1,58,leaf2,40.521,0.259,0.384,156.29
2025-07-18,benson,control,1,59,leaf1,34.889,0.798,0,43.72
2025-07-18,benson,control,1,60,leaf2,45.784,1.067,0.243,42.92
2025-07-18,benson,control,1,62,leaf2,39.314,0.549,0.386,71.55
2025-07-18,benson,control,1,61,leaf1,34.887,0.485,0.403,71.9
2025-07-18,benson,control,1,64,leaf2,47.856,0.84,0.326,56.96
2025-07-18,benson,control,1,63,leaf1,38.313,0.432,0.469,88.72
2025-07-18,benson,control,1,66,leaf2,35.54,0.338,0.332,105.16
2025-07-18,benson,control,1,65,leaf1,21.576,0.254,0.393,84.82
2025-07-18,benson,control,1,68,leaf2,44.329,NA,0.087,NA
2025-07-18,benson,control,1,67,leaf1,46.552,0.514,0.525,90.61
2025-07-18,benson,control,1,70,leaf2,40.145,1.124,0.373,35.72
2025-07-18,benson,control,1,69,leaf1,33.398,NA,0,NA
2025-07-18,benson,control,1,72,leaf2,39.545,0.49,0.369,80.76
2025-07-18,benson,control,1,71,leaf1,32.239,0.359,0.383,89.87
2025-07-18,benson,control,1,74,leaf2,46.014,0.566,0.369,81.31
2025-07-18,benson,control,1,73,leaf1,36.052,0.547,0.417,65.86
2025-07-18,benson,control,1,76,leaf2,50.927,0.673,0.191,75.69
2025-07-18,benson,control,1,75,leaf1,46.521,0.544,0.382,85.57
2025-07-18,benson,control,1,89,leaf2,10.528,0.715,0,14.72
2025-07-18,benson,control,1,88,leaf1,49.283,0.313,0.043,157.58
2025-07-18,benson,control,1,78,leaf2,51.228,0.444,0.352,115.38
2025-07-18,benson,control,1,77,leaf1,39.596,0.502,0.425,78.93
2025-07-18,benson,control,1,80,leaf2,14.362,1.091,0.214,13.16
2025-07-18,benson,control,1,79,leaf1,14.285,0.28,0.01,50.93
2025-07-18,benson,control,1,91,leaf2,49.91,0.857,0.312,58.21
2025-07-18,benson,control,1,90,leaf1,37.704,0.452,0.393,83.47
2025-07-18,benson,control,1,82,leaf2,21.924,1.329,0.278,16.5
2025-07-18,benson,control,1,81,leaf1,34.303,0.636,0.421,53.96
2025-07-18,benson,control,1,87,leaf2,20.804,0.37,0.182,56.2
2025-07-18,benson,control,1,86,leaf1,45.841,0.441,0.369,104.02
2025-07-18,benson,control,1,85,leaf2,43.534,0.442,0.347,98.45
2025-07-18,benson,control,1,84,leaf1,30.306,0.523,0.444,57.93
2025-07-18,benson,control,1,93,leaf2,46.173,1.032,0.322,44.74
2025-07-18,benson,control,1,92,leaf1,32.145,0.533,0.449,60.29
2025-07-18,benson,control,1,95,leaf2,49.114,NA,NA,NA
2025-07-18,benson,control,1,94,leaf1,47.994,0.579,0.296,82.87
2025-07-18,benson,control,1,97,leaf2,46.896,0.918,0.334,51.11
2025-07-18,benson,control,1,96,leaf1,64.594,0.724,0.258,89.2
2025-07-18,benson,control,1,98,leaf1,40.128,0.363,0.258,110.65
2025-07-18,benson,control,1,99,leaf2,43.096,1.223,0,35.24
2025-07-18,benson,control,1,100,leaf1,29.119,0.475,0.435,61.24
2025-07-18,benson,control,1,101,leaf2,38.867,0.863,0.396,45.04
2025-07-18,benson,control,1,102,leaf1,45.299,0.94,0.335,48.2
2025-07-18,benson,control,1,103,leaf2,33.217,0.898,0.23,36.98
2025-07-18,benson,control,1,104,leaf1,48.651,0.731,0.312,66.55
2025-07-18,benson,control,1,105,leaf2,54.925,0.848,0.325,64.8
2025-07-18,benson,control,1,106,leaf1,29.017,0.547,0.752,53.06
2025-07-18,benson,control,1,107,leaf2,36.512,0.53,0.335,68.85
2025-07-18,benson,control,1,108,leaf1,30.236,0.338,0.5,89.53
2025-07-18,benson,control,1,109,leaf2,46.499,0.445,0.387,104.39
2025-07-18,benson,control,1,110,leaf1,41.158,0.448,0.394,91.79
2025-07-18,benson,control,1,111,leaf2,53.853,0.766,0.364,70.33
2025-07-18,benson,control,1,112,leaf1,47.503,NA,NA,NA
2025-07-18,benson,control,1,113,leaf2,49.21,1.208,0.344,40.73
2025-07-18,benson,control,1,115,leaf2,53.545,0.889,0.242,60.2
2025-07-18,benson,control,1,114,leaf1,51.083,0.516,0.363,98.91
2025-07-18,benson,control,1,117,leaf2,34.932,0.97,0.41,36
2025-07-18,benson,control,1,116,leaf1,28.743,NA,NA,NA
2025-07-18,benson,control,1,129,leaf2,22.726,1.256,0.197,18.1
2025-07-18,benson,control,1,128,leaf1,41.963,0.466,0.467,90.09
2025-07-18,benson,control,1,127,leaf2,46.481,0.842,0.395,55.18
2025-07-18,benson,control,1,126,leaf1,43.711,0.691,0.524,63.27
2025-07-18,benson,control,1,119,leaf2,49.032,0.871,0.097,56.32
2025-07-18,benson,control,1,118,leaf1,38.011,1.035,0,36.71
2025-07-18,benson,control,1,131,leaf2,45.489,0.91,0.322,50
2025-07-18,benson,control,1,130,leaf1,56.595,0.623,0.322,90.79
2025-07-18,benson,control,1,124,leaf2,35.974,0.603,0.539,59.67
2025-07-18,benson,control,1,123,leaf1,46.172,1.136,0.426,40.66
2025-07-18,benson,control,1,125,leaf2,22.293,1.475,0.402,15.11
2025-07-18,benson,control,1,124,leaf1,35.974,0.603,0.539,59.67
2025-07-18,benson,control,1,121,leaf2,40.634,0.88,0.398,46.19
2025-07-18,benson,control,1,120,leaf1,34.978,0.679,0,51.51
2025-07-18,benson,control,1,133,leaf2,42.584,1.312,0.407,32.46
2025-07-18,benson,control,1,132,leaf1,46.871,0.648,0.362,72.32
2025-07-18,benson,control,1,135,leaf2,56.757,0.548,0.351,103.59
2025-07-18,benson,control,1,134,leaf1,50.354,0.794,0.353,63.45
2025-07-18,benson,control,1,137,leaf2,58.231,0.923,0.307,63.08
2025-07-18,benson,control,1,136,leaf1,45.78,0.666,0.406,68.72
2025-07-18,benson,control,1,139,leaf2,46.189,1.326,0.385,34.83
2025-07-18,benson,control,1,138,leaf1,41.221,0.668,0.405,61.66
2025-07-18,benson,control,1,141,leaf2,47.492,0.658,0.258,72.2
2025-07-18,benson,control,1,140,leaf1,42.672,0.428,0.404,99.71
2025-07-18,benson,control,1,143,leaf2,36.025,1.328,0.414,27.12
2025-07-18,benson,control,1,142,leaf1,28.943,0.615,0.416,47.09
2025-07-18,benson,control,1,145,leaf2,48.909,0.709,0.371,68.99
2025-07-18,benson,control,1,144,leaf1,40.778,0.427,0.389,95.54
2025-07-18,benson,control,1,147,leaf2,54.852,1.264,0.344,43.41
2025-07-18,benson,control,1,146,leaf1,56.752,0.678,0.345,83.77
2025-07-18,benson,control,1,149,leaf2,50.036,0.679,0.344,73.68
2025-07-18,benson,control,1,148,leaf1,39.387,0.42,0.38,93.72
2025-07-18,benson,control,1,150,leaf1,33.327,0.441,0.411,75.59
2025-07-18,benson,control,1,151,leaf2,46.708,0.426,0.379,109.71
2025-07-18,benson,control,1,152,leaf1,53.072,0.993,0.337,53.44
2025-07-18,benson,control,1,153,leaf2,62.361,0.318,0.261,196.2
2025-07-18,benson,control,1,154,leaf1,52.555,0.558,0.371,94.23
2025-07-18,benson,control,1,155,leaf2,56.417,1.232,0.343,45.8
2025-07-18,benson,control,1,158,leaf1,64.116,0.719,0.344,89.15
2025-07-18,benson,control,1,159,leaf2,29.417,1.093,NA,26.91
2025-07-18,benson,control,1,156,leaf1,41.239,NA,NA,NA
